City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
83,zelezniki,46.2333,14.1667,35.28,93,9,4.16,SI,1675303499
84,burnie,-41.0667,145.9167,55.94,97,100,23.8,AU,1675303499
85,santarem,-2.4431,-54.7083,75.33,94,40,5.75,BR,1675303499
86,bandarbeyla,9.4942,50.8122,74.39,66,4,15.19,SO,1675303500
87,castro,-24.7911,-50.0119,63.23,95,57,2.39,BR,1675303500
88,dingle,10.9995,122.6711,82.18,77,56,13.82,PH,1675303501
89,pobe,6.9801,2.6649,73.35,95,1,3.51,BJ,1675303501
90,hermanus,-34.4187,19.2345,63.81,83,10,6.2,ZA,1675303501
91,broome,42.2506,-75.833,22.66,70,0,6.91,US,1675303502
92,bilibino,68.0546,166.4372,-2.63,100,100,3.0,RU,1675303305
93,ribeira grande,38.5167,-28.7,52.77,80,20,10.0,PT,1675303503
94,chone,-0.6833,-80.1,73.96,96,69,3.42,EC,1675303329
95,ossora,59.2353,163.0719,17.17,81,100,5.57,RU,1675303504
96,almunecar,36.7339,-3.6907,46.22,73,0,3.83,ES,1675303505
97,pangnirtung,66.1451,-65.7125,-21.26,77,100,2.64,CA,1675303505
98,georgetown,5.4112,100.3354,80.53,87,20,5.75,MY,1675303391
99,merrill,45.1805,-89.6835,16.75,62,100,0.0,US,1675303254
100,westport,41.1415,-73.3579,32.83,49,0,9.22,US,1675303507
101,nome,64.5011,-165.4064,21.27,86,100,9.22,US,1675303509
102,mataura,-46.1927,168.8643,75.47,66,100,4.09,NZ,1675303510
103,tiksi,71.6872,128.8694,-16.65,99,100,8.23,RU,1675303510
104,chokurdakh,70.6333,147.9167,-10.3,98,100,3.74,RU,1675303511
105,pimenta bueno,-11.6725,-61.1936,72.37,93,100,1.92,BR,1675303511
106,bubaque,11.2833,-15.8333,77.68,60,1,14.45,GW,1675303428
107,srandakan,-7.9386,110.2506,77.85,83,100,2.62,ID,1675303512
108,papetoai,-17.4961,-149.8729,87.39,71,5,16.46,PF,1675303513
109,suoyarvi,62.0833,32.35,12.96,100,100,2.89,RU,1675303513
110,kyren,51.6828,102.1408,5.65,84,23,0.78,RU,1675303513
111,cockburn town,21.4612,-71.1419,77.63,71,0,20.47,TC,1675303514
112,asau,46.4333,26.4,29.32,87,97,8.48,RO,1675303515
113,paamiut,61.994,-49.6678,11.39,78,94,7.54,GL,1675303285
114,arraial do cabo,-22.9661,-42.0278,78.66,78,20,10.36,BR,1675303243
115,panzhihua,26.5851,101.7128,60.98,41,9,1.23,CN,1675303237
116,karasburg,-28.0167,18.75,65.7,43,0,6.8,NA,1675303517
117,talara,-4.5772,-81.2719,79.56,69,40,4.61,PE,1675303310
118,trofors,65.5333,13.4063,13.87,95,100,2.26,NO,1675303518
119,pevek,69.7008,170.3133,-7.55,95,23,1.48,RU,1675303519
120,alakurtti,66.9672,30.3491,13.28,98,100,1.16,RU,1675303520
121,hofn,64.2539,-15.2082,27.68,75,92,11.05,IS,1675303521
122,excelsior springs,39.3392,-94.2261,33.49,41,0,3.44,US,1675303522
123,namibe,-15.1961,12.1522,71.13,81,100,4.68,AO,1675303522
124,new norfolk,-42.7826,147.0587,68.92,41,98,5.99,AU,1675303523
125,hay river,60.8156,-115.7999,-20.22,76,0,5.75,CA,1675303473
126,airai,-8.9266,125.4092,69.03,80,97,3.42,TL,1675303523
127,portland,45.5234,-122.6762,44.04,64,40,8.05,US,1675303523
128,isangel,-19.55,169.2667,84.04,74,98,6.15,VU,1675303388
129,hithadhoo,-0.6,73.0833,80.42,77,43,9.17,MV,1675303524
130,aktash,50.3,87.7333,-6.25,90,12,4.23,RU,1675303525
131,chara,56.9064,118.2631,-10.44,80,40,1.63,RU,1675303525
132,kahului,20.8947,-156.47,79.97,80,20,5.75,US,1675303526
133,kongolo,-5.3833,27.0,66.58,98,20,2.42,CD,1675303526
134,tasiilaq,65.6145,-37.6368,19.56,79,100,20.87,GL,1675303526
135,hervey bay,-25.2986,152.8535,81.9,79,19,5.03,AU,1675303527
136,beaver falls,40.752,-80.3192,24.75,67,0,5.75,US,1675303527
137,antalaha,-14.9003,50.2788,74.98,91,52,7.05,MG,1675303527
138,carnarvon,-24.8667,113.6333,86.95,57,43,10.71,AU,1675303256
139,luderitz,-26.6481,15.1594,62.78,78,45,18.32,NA,1675303529
140,port alfred,-33.5906,26.891,63.18,92,0,10.56,ZA,1675303529
141,iqaluit,63.7506,-68.5145,-25.87,62,75,2.3,CA,1675303343
142,nishihara,26.1842,127.7558,69.85,78,75,6.91,JP,1675303530
143,cosambesti,44.5593,27.4344,38.89,90,96,5.39,RO,1675303530
144,rivera,-30.9053,-55.5508,82.15,41,91,14.47,UY,1675303376
145,tual,-5.6667,132.75,83.37,75,100,9.86,ID,1675303531
146,korla,41.7597,86.1469,18.79,79,8,2.93,CN,1675303359
147,lavrentiya,65.5833,-171.0,15.04,94,100,6.58,RU,1675303531
148,sao filipe,14.8961,-24.4956,70.99,72,53,10.76,CV,1675303532
149,svetlogorsk,52.6333,29.7333,32.61,97,100,10.8,BY,1675303532
150,saint george,37.1041,-113.5841,44.94,34,0,1.01,US,1675303363
151,axim,4.8699,-2.2405,78.01,91,0,4.47,GH,1675303533
152,hamilton,39.1834,-84.5333,29.08,60,0,4.61,US,1675303508
153,kodiak,57.79,-152.4072,35.11,75,0,5.75,US,1675303533
154,pacific grove,36.6177,-121.9166,54.25,77,0,8.01,US,1675303533
155,necochea,-38.5473,-58.7368,63.48,81,100,7.58,AR,1675303534
156,torello,42.0463,2.2668,41.2,42,0,3.53,ES,1675303534
157,longyearbyen,78.2186,15.6401,12.04,67,20,17.27,SJ,1675303534
158,gandai,21.6667,81.1,56.41,33,13,2.73,IN,1675303535
159,jiangyou,31.7667,104.7167,52.0,49,100,4.88,CN,1675303535
160,victoria,22.2855,114.1577,73.45,80,0,4.0,HK,1675303415
161,yellowknife,62.456,-114.3525,-33.45,74,20,2.3,CA,1675303535
162,carbonia,39.1672,8.5222,48.85,68,93,10.49,IT,1675303536
163,lebu,-37.6167,-73.65,57.18,82,0,23.51,CL,1675303364
164,bengkulu,-3.8004,102.2655,80.31,74,96,5.26,ID,1675303536
165,berlevag,70.8578,29.0864,28.35,74,20,6.91,NO,1675303537
166,horta,38.5333,-28.6333,52.02,80,40,10.0,PT,1675303537
167,bacolod,10.6667,122.95,83.8,70,11,12.08,PH,1675303537
168,luba,3.4568,8.5547,76.89,80,6,6.58,GQ,1675303538
169,dali,25.7,100.1833,55.99,44,44,3.62,CN,1675303538
170,belyy yar,53.6039,91.3903,-2.31,92,100,2.24,RU,1675303538
171,central point,42.376,-122.9164,46.53,50,0,3.44,US,1675303469
172,yerbogachen,61.2767,108.0108,-12.06,99,82,5.95,RU,1675303539
173,libreville,0.3925,9.4537,80.62,83,40,4.61,GA,1675303332
